player,name,position,team,mean_adp,median_adp,n_drafts
16342,"Douglas, Demario",WR,NEP,165.74157303370785,165.0,89
15368,"McPherson, Evan",PK,CIN,165.88095238095238,169.0,126
0521,"Bears, Chicago",Def,CHI,166.0,170.5,82
14533,"Taylor, Malik",WR,FA,166.0,166.0,1
17063,"Mafah, Phil",RB,DAL,166.0,166.0,1
0574,"Vikings, Minnesota",ST,MIN,166.66666666666666,195.0,3
0504,"Patriots, New England",Def,NEP,166.92079207920793,169.0,101
14426,"Wright, Matthew",PK,BUF,167.0,167.0,2
13193,"Smith, Jonnu",TE,PIT,167.3448275862069,172.0,87
15319,"Palmer, Joshua",WR,BUF,167.625,161.0,48
16639,"Legette, Xavier",WR,CAR,167.67142857142858,170.5,70
15292,"Brown, Dyami",WR,JAC,167.75,130.5,4
15285,"Wallace, Tylan",WR,BAL,168.0,168.0,1
0561,"Broncos, Denver",ST,DEN,168.0,183.0,3
14489,"Gillan, Jamie",PN,NYG,168.0,168.0,1
16631,"Polk, Ja'Lynn",WR,NOS,168.0,168.0,1
0710,"Steelers, Pittsburgh",TMPK,PIT,168.0909090909091,157.0,11
16688,"Guerendo, Isaac",RB,SFO,168.87234042553192,165.0,47
17106,"Taylor, Mason",TE,NYJ,168.96666666666667,168.5,60
0572,"Lions, Detroit",ST,DET,169.0,169.0,2
16843,"Mevis, Harrison",PK,LAR,169.0,169.0,2
13844,"Cooke, Logan",PN,JAC,169.0,169.0,1
16686,"Smith, Ainias",WR,CAR,169.0,169.0,1
16191,"Tillman, Cedric",WR,CLE,169.1451612903226,166.5,62
14105,"Brown, Marquise",WR,KCC,169.1891891891892,168.0,37
