player,name,position,team,mean_adp,median_adp,n_drafts,player_norm,sleeper_rank,rtsports_rank,fftoday_espn_rank,avg_rank,position_fft
14861,"Johnson, Juwan",TE,NOS,179.2962962962963,187.0,27,juwan johnson,269,,,269.0,TE
17078,"Bech, Jack",WR,LVR,180.0,183.0,13,jack bech,219,200.0,,209.5,WR
16152,"Richardson, Anthony",QB,IND,180.05882352941177,179.0,17,anthony richardson,251,,233.0,242.0,QB
17082,"Bryant, Pat",WR,DEN,180.42857142857144,178.0,14,pat bryant,241,213.0,,227.0,WR
17032,"Dart, Jaxson",QB,NYG,182.20833333333337,174.0,24,jaxson dart,229,,203.0,216.0,QB
12187,"Lockett, Tyler",WR,LVR,182.9811320754717,190.0,53,tyler lockett,215,,,215.0,WR
11232,"Hopkins, DeAndre",WR,BAL,183.375,190.5,24,deandre hopkins,214,161.0,,187.5,WR
17108,"Arroyo, Elijah",TE,SEA,184.0,182.5,10,elijah arroyo,209,234.0,,221.5,TE
17098,"Horton, Tory",WR,SEA,184.9,176.5,20,tory horton,234,223.0,242.0,233.0,WR
16649,"Johnson, Theo",TE,NYG,186.0,186.0,11,theo johnson,263,,,263.0,TE
17066,"Monangai, Kyle",RB,CHI,186.46666666666667,186.0,15,kyle monangai,240,146.0,,193.0,RB
17033,"Milroe, Jalen",QB,SEA,186.8,171.0,5,jalen milroe,273,,237.0,255.0,QB
17064,"Hunter, Jarquez",RB,LAR,187.0,187.0,13,jarquez hunter,252,190.0,,221.0,RB
16171,"Miller, Kendre",RB,NOS,187.05263157894737,186.0,19,kendre miller,267,193.0,,230.0,RB
16593,"Corum, Blake",RB,LAR,187.9512195121951,188.0,41,blake corum,222,216.0,,219.0,RB
16628,"McMillan, Jalen",WR,TBB,188.42857142857144,185.0,7,jalen mcmillan,223,,,223.0,WR
14059,"Jones, Daniel",QB,IND,189.0,199.0,20,daniel jones,280,,,280.0,QB
15768,"Pierce, Alec",WR,IND,189.22857142857143,188.0,35,alec pierce,250,221.0,,235.5,WR
17058,"Brooks, Tahj",RB,CIN,189.7058823529412,186.0,17,tahj brooks,237,212.0,,224.5,RB
16206,"Wilson, Michael",WR,ARI,192.5,186.5,36,michael wilson,259,,,259.0,WR
16619,"Franklin, Troy",WR,DEN,193.1428571428571,185.0,14,troy franklin,281,241.0,,261.0,WR
16178,"Mitchell, Keaton",RB,BAL,193.22222222222223,189.0,18,keaton mitchell,232,197.0,,214.5,RB
12447,"Mostert, Raheem",RB,LVR,193.3703703703704,186.0,27,raheem mostert,239,,,239.0,RB
16207,"Iosivas, Andrei",WR,CIN,194.0,197.0,19,andrei iosivas,265,,,265.0,WR
16809,"Coker, Jalen",WR,CAR,195.0,186.5,16,jalen coker,255,243.0,,249.0,WR
17049,"Smith, Brashard",RB,KCC,197.92307692307693,189.0,13,brashard smith,254,198.0,,226.0,RB
17060,"Giddens, DJ",RB,IND,200.0,194.5,14,dj giddens,245,211.0,,228.0,RB
14122,"Slayton, Darius",WR,NYG,209.375,214.5,8,darius slayton,266,215.0,,240.5,WR
16390,"McLaughlin, Jaleel",RB,DEN,209.4,204.0,5,jaleel mclaughlin,282,,,282.0,RB
16604,"Lloyd, MarShawn",RB,GBP,209.83333333333337,196.5,6,marshawn lloyd,262,,,262.0,RB
13675,"Conklin, Tyler",TE,LAC,213.5,213.5,2,tyler conklin,283,,241.0,262.0,TE
16643,"Sanders, Ja'Tavion",TE,CAR,215.0,191.0,5,jatavion sanders,257,,,257.0,TE
15337,"Gray, Noah",TE,KCC,216.83333333333337,214.5,6,noah gray,271,,230.0,250.5,TE
17073,"Ayomanor, Elic",WR,TEN,222.8571428571429,214.0,7,elic ayomanor,207,,,207.0,WR
16626,"Mitchell, Adonai",WR,NYJ,230.8,200.0,5,adonai mitchell,247,,,247.0,WR
14079,"Sanders, Miles",RB,DAL,239.8,240.0,5,miles sanders,249,209.0,,229.0,RB
16195,"Wicks, Dontayvion",WR,GBP,242.75,233.5,4,dontayvion wicks,277,,244.0,260.5,WR
15263,"Mitchell, Elijah",RB,NEP,282.0,297.0,3,elijah mitchell,275,208.0,,241.5,RB
